게시일자,게시물제목명,내용
2022-01-07,"KF, 미국 프린스턴대에 한국학 기금교수직 설치","KF는 2021년 11월 18일 프린스턴대와 총 500만불 규모의 한국학 기금교수직 설치 협약을 체결했습니다. 양 기관이 올해부터 매년 각각 50만 달러씩 5년간 적립해 500만 달러 규모로 기금을 조성한 후 한국학 교수를 임용하게 됩니다.이번 한국학 교수직은 지난 2007년 설치한 한국문화·사회학 조교수직에 이은 두 번째 교수직으로, 2007년부터 임용 중인 스티븐 정(Steven Chung) 한국문화·사회학 KF교수(現부교수)와 함께 프린스턴대의 한국학 연구·교육 기반 확대에 기여할 것으로 기대됩니다.KF는 1991년 창립 이래 美동부 아이비리그 대학(▲하버드, ▲예일, ▲프린스턴, ▲펜실베이니아, ▲컬럼비아, ▲코넬, ▲다트머스, ▲브라운대)에 한국학 전공 교수직을 설치하고 한국어 강사 고용을 지원하는 등 현재 아이비리그 8개 대학에 총 14명의 KF 한국어/학 교수와 1명의 한국어 강사가 활동 중에 있습니다.KF 이근 이사장은 2021년 11월 18일(목) 오후(미국 동부시간) 프린스턴대를 방문, 데보라 프렌티스(Deborah Prentice) 프로보스트(Provost), 파블로 데베네데티(Pablo G. Debenedetti) 연구처장, 애나 쉴즈(Anna M. Shields) 동아시아학과장 등이 참석한 가운데 동 기금교수직 설치 협약식을 개최했습니다.한편, KF는 미국 내 지역별로도 균형있는 한국학의 발전을 위해, 2021년 12월 남부 조지아주에 위치한 에모리대와도 총 400만불 규모의 한국학 기금교수직 신설 협약을 체결했으며, 이를 계기로 美 남부 및 중부 지역의 한국학 기반도 지속적으로 강화해 나갈 계획입니다.KF는 지난 30년간 해외 17개국 97개 대학에 총 149석의 정규 한국학 교수직을 설치하였고, 해외에서 총 4,000명 이상의 한국학 전공 석·박사생 및 박사후연구 펠로를 지원했습니다. 금번 프린스턴대 기금교수직 설치를 비롯, 전도유망한 차세대 학자들을 배출하고 있는 해외 주요 대학에 한국학 확대를 위한 지원을지속함으로써, 해외에서 한국학 연구와 교육의 저변을 확대하고 있습니다."
2022-01-11,한-벨기에 수교 120주년 기념 말의 머리전 개최 ,"한국국제교류재단은 주한벨기에대사관과 협력하여 2021년 12월 28부터 2022년 2월 9일까지, 2021년 한-벨기에 수교 120주년을 기념하기 위해 《말의 머리 Horse Head》 사진전을 KF갤러리와 VR 전시를 통해서 개최합니다. 이 전시는 세계에서 가장 명망 있는 사진상인 소니 월드 포토그래피 어워즈(SONY World Photography Awards)에서 2017년, ‘올해의 사진 작가’로 선정된 벨기에 출신 세계적인 사진가 프레데릭 벅스(Frederik Buyckx, 1984~ )가 촬영한 키르기스스탄 사진으로 이루어진 특별한 전시입니다. 2021년 12월 29일, 이근 KF 이사장, 주한벨기에대사 프랑소와 봉땅(H.E. Mr. Francois Bontemps), 그리고 주한키르기스스탄대사 디나라 케멜로바(H.E. Ms. Dinara Kemelova)의 환영사와 축사로 전시 개막을 축하하는 행사를 진행했습니다. 전시는 3D VR 전시를 통해서도 관람할 수 있습니다."
2022-03-03,2021 지구촌 한류현황 발간,"KF(Korea Foundation, 한국국제교류재단, 이사장 이근)는 152개 재외공관과 협력하여 〈2021 지구촌 한류현황〉을 발간하였습니다.[온라인 버전 보기 링크: www.kf.or.kr/archives/ebook/ebook_list.do] 《지구촌 한류현황》은 전 세계 재외공관을 통해 수집한 세계 한류 현황 자료를 정리한 책으로 2012년부터 매년 발간되어 올해로 10주년을 맞이하였습니다. 2021년 12월 기준 전 세계 한류 팬 수는 1억 5,660만 명으로 조사되었습니다. 책자 발간이 시작된 2012년(당시 926만 명) 대비 10년 사이 17배 증가한 수치입니다. 사상 최초 1억 명을 돌파했던 전년(2020년)보다도 29% 증가하였습니다.지구촌 한류현황 통계센터 : https://www.kf.or.kr/koreanstudies/hallyu.doKF는 《지구촌 한류현황》 발간 10주년을 맞아 그간 축적된 관련 데이터를 KF 통계센터에 공개 하였습니다. 관심 있는 누구나 10년간 발간된 책자 및 한류 데이터를 열람할 수 있습니다."
2022-03-29,"KF, 덴마크국립미술관 양혜규: 이중 영혼 전시 지원","KF(Korea Foundation, 한국국제교류재단, 이사장 이근)는 덴마크국립미술관에서 3월 5일부터 7월 31일까지 열리는 양혜규: 이중 영혼 (Haegue Yang: Double Soul)전을 지원합니다. 국제 미술계에서 가장 중요한 작가 중 한 명으로 평가 받는 설치미술 예술가 양혜규 작가의 이번 개인전은 다양한 사물들을 물리적공감각적으로 확장하고 변형함으로써 보이는 것 너머의 이면, 이중성에 대한 작가의 탐구를 풀어냈습니다.이번 전시에는 작가가 덴마크 여성 예술가 피아 아르케와 소냐 페를로프 만코바에게 영감을 받아 제작한 “소리 나는 중간 유형 이중 영혼” 두 작품을 포함하여 1994년부터 현재까지 작업한 50여 점의 작품이 전시됩니다. 북유럽 최초 양혜규 작가 개인전으로, 북유럽에 한국미술을 확산하는 좋은 계기가 될 이번 전시에 대한 자세한 설명은 덴마크국립미술관 공식 홈페이지 설명을 참고해 주세요! (https://www.smk.dk/en/exhibition/haegue-yang-double-soul/)"
2022-03-29,Koreana 2022 봄호 발간,"KF(Korea Foundation, 한국국제교류재단, 이사장 이근)는 종합문화예술 계간지 2022 봄호를 발간하였습니다. 이번 호의 특집주제는 ‘크로스오버 국악: 세계가 귀를 기울이다(Traditional Music: Remixed for Global Stages)’로, 깊은 울림으로 다시 태어난 국악과 새로운 트렌드를 이끌어가는 다양한 아티스트를 조명합니다. 이 외에도 ‘옥스퍼드 사전에 새롭게 추가된 한글 단어’, ‘추운 겨울이 남긴 풍미 시래기’, ‘전세계 시청자에게 큰 여운을 남긴 우리나라 여성예능’ 등 보다 전문적이고 흥미로운 소재를 접하실 수 있습니다. 웹진(koreana.or.kr)은 언제 어디서나 11개 언어로 무료로 보실 수 있으며, 종이책이 주는 여운을 간직하고 싶은 독자를 위해 스마트스토어(bit.ly/buy_koreana)에 9개 언어의 종이책이 준비되어 있습니다."
2022-04-19,영혼을 수놓은 초상-그리스의 의복展 개최 ,"한국국제교류재단과 주한그리스대사관은 2022년 3월 25일부터 6월 3일까지 《영혼을 수놓은 초상-그리스의 의복》展을 KF갤러리와 VR 전시를 통해서 개최합니다. 동 전시는 그리스 혁명(1821년) 200주년을 기념하기 위해 2021년 그리스 국립역사박물관이 반겔리스 키리스(Vangelis Kyris) 와 아나톨리 게오르기에프(Anatoli Georgiev) 에게 의뢰한 기념비적인 프로젝트에서 비롯된 전시입니다. 키리스는 그리스 국립역사박물관으로부터 위탁 받은 보물급 의복을 현대인들에게 입혀 초상 사진을 찍고 게오르기에프는 그것을 금과 은 등의 금속, 견사, 면사를 사용한 자수로 재창조해 역사와 전통이 현대와 조우하는 귀중한 장면을 선사합니다. 지난 3월 말, 두 예술가가 전시 개막을 축하하기 위해 KF갤러리에 방문하여 한국의 많은 관람객들과 만남을 가졌습니다. 전시는 VR 전시로도 관람하실 수 있습니다."
2022-04-22,2022 아프리카 및 중동 지역 해외 유력 인사 방한,"KF(Korea Foundation, 한국국제교류재단, 이사장 이근)의 초청으로 가봉, 나이지리아, 앙골라, 요르단, 케냐 등 아프리카 및 중동 지역 9개국 11명의 해외 유력 인사들이 한국을 방문했습니다.KF의 초청을 통해 4월 10일(일)부터 4월 16일(토)까지 △Hatough-Bouran 요르단 상원 지중해위원회위원장(前환경부 장관, 주미국대사), △Al Tai 오만 국가평의회 상원의원, △Vieira Lopes 앙골라 외교부 차관, △Neves 에스와티니 외교부 국제협력 차관, △Obi 나이지리아 칼라바대학교 교육총장 등 의회, 외교, 교육 등 분야의 주요 인사들이 방한했습니다.공통 일정으로 4월 11일(월)에는 KOICA, 아산정책정책연구원을 방문하여 한국의 대북 정책 방향, 아중동 지역 내 국제개발협력 사업 현황 등에 대해 이해하는 시간을 가졌으며, 13일(수)에는 외교부를 방문하여 제1차관과 면담하고 상호 협력 증대 방안에 대해 논의했습니다. 또한, 개별 일정으로 국회입법조사처, 질병관리청 국립감염병연구소, 국내 주요 대학교, 2030 엑스포 부산 유치 관련 부산 시찰 등 각 분야별 유관기관을 방문하여 국내 전문가들을 만나 실질적 상호 협력 증대 방안에 대해서 논의했습니다."
2022-04-25,"KF, 아리랑TV 협업 다큐 Funtastic Korea 3부작 제작","KF(Korea Foundation, 한국국제교류재단, 이사장 이근)는 아리랑TV와 협업하여 3부작 다큐멘터리를 제작하였습니다. 이번 다큐멘터리 시리즈는 작년 상반기 공개된 다큐멘터리 시리즈에 이어 한국인이 가진 흥을 세 가지 소재(음악과 흥, 술과 음주문화, 스포츠와 응원문화)로 풀어냅니다. 첫 번째 이야기 ‘음악과 흥’ 편에서는 한류 열풍을 불러일으킨 K-Pop의 팬클럽 문화와 다양한 종류의 한국음악을 다룹니다. 여러 아티스트와 팬의 인터뷰를 통해 한류 팬덤이 국경을 초월하여 두텁게 형성될 수 있었던 비결이 무엇인지 가늠해 보실 수 있습니다. 두 번째 이야기 ‘술과 음주문화’ 편에서는 세계인들이 관심을 갖는 한국의 술과 음주문화에 대해 소개합니다. 이와 더불어, 술이 한국인에게 있어 어떠한 의미를 갖는지 그 이야기를 들어보실 수 있습니다. 마지막 이야기 ‘스포츠와 응원문화’ 편에서는 스포츠를 관람하며 떼창으로 경기장을 뜨겁게 달구는 한국인의 응원문화에 대해서 조금 더 깊이있게 다뤄봅니다.본 다큐멘터리는 1.31.(월)부터 2.2.(수)까지 사흘간 연속으로 아리랑TV 월드 채널과 코리아 채널, 미국 UN본부 인하우스 채널을 통해 전세계에 방영되었으며 KF 홈페이지(kf.or.kr/archives)와 유튜브 채널(youtube.com/theKoreaFoundation)에서 언제든지 감상하실 수 있습니다."
2022-04-28,"美 평화봉사단, 창립 60주년 기념행사에서 KF에 감사패 수여","KF(Korea Foundation, 한국국제교류재단, 이사장 이근)는 4월 23일부터 24일까지 미국 워싱턴 D.C.에서 열린 前 한국 파견 미국 평화봉사단원들(Peace Corps Korea)의 리유니언 행사에서 감사패를 수여받았습니다.미국 평화봉사단 창립 60주년과 미국 평화봉사단 한국 파견 55주년을 기념하는 취지로 기획된 이번 행사에는 약 120명의 봉사단원이 한자리에 모였습니다.미국 평화봉사단은 1961년 존 F. 케네디 대통령에 의해 창설되었으며, 한국에는 1966년부터 1981년까지 2,000여명의 평화봉사단원이 교육 및 보건 분야에서 활동하였습니다.미국 평화봉사단 측은 “40여 년의 세월이 흘렀지만, 한국과 한국인에 대한 변치 않는 애정을 간직하고 있다”면서, 그 동안 KF에서 추진한 《미국 평화 봉사단 재방한 초청사업》과 팬데믹으로 재방한이 불가했던 2020년 봉사단원 개개인에게 전달된 〈KF 코로나19 방역키트〉등에 무한한 감사를 표하며 이번 리유니언 행사에 이근 KF 이사장을 초청하였습니다.감사패는 미국 평화봉사단과 한국 간 지속적인 우호 증진에 기여한 KF(이사장 이근)와 주미국대한민국대사관(대사 이수혁)에 수여되었으며, 증정식은 4.23.(토) 주미국대한민국대사관저에서 진행되었습니다."
2022-05-04,2022년 제1차 한중 저널리스트 다이얼로그,"지난 4월 25일(월), KF는 성균중국연구소와 함께 2022년 제1차 한중 저널리스트 다이얼로그를 개최했습니다. 2018년 처음 개최되어 올해는 5번째를 맞이하는 한중 다이얼로그는 한국과 중국의 언론인들간의 서로에 대한 인식의 차이를 좁히고, 양국의 우호를 증진시키기 위해 매년 2회씩 열리고 있습니다.올해는 ‘한국 새 정부 출범 이후 한중 관계 전망’이라는 주제로 한국과 중국의 언론인 각 6명이 모여, 한층 더 성숙된 미래의 협력 관계를 그려나가는 시간을 가졌습니다.한-중 수교 30주년을 맞이하는 해에 개최되어 더욱 의미가 깊었던 이번 행사를 통해, 참가자들은 양국의 협력관계를 보다 공고히하기 위한 방안에 대해 활발히 의견을 교환했습니다."
